1514937600000,202
1515024000000,203
1515110400000,206
1515369600000,209
1515456000000,208.5
1515542400000,207
1515628800000,204.5
1515715200000,203
1515974400000,204
1516060800000,204
1516147200000,203
1516233600000,202.5
1516320000000,201.5
1516579200000,201.5
1516665600000,199.4
1516752000000,198
1516838400000,197
1516924800000,203.5
1517184000000,203.5
1517270400000,209
1517356800000,206
1517443200000,197.8
1517529600000,195.2
1517788800000,190
1517875200000,186
1517961600000,184
1518048000000,193.8
1518134400000,193
1518393600000,195
1518480000000,195.2
1518566400000,202
1518652800000,200
1518739200000,199
1518998400000,199
1519084800000,200
1519171200000,196
1519257600000,197.4
1519344000000,198.8
1519603200000,196.4
1519689600000,199.6
1519776000000,193.8
1519862400000,197.8
1519948800000,202
1520208000000,205
1520294400000,207.5
1520380800000,211
1520467200000,210.5
1520553600000,213
1520812800000,218
1520899200000,218.5
1520985600000,219.5
1521072000000,219
1521158400000,219
1521417600000,219
1521504000000,218.5
1521590400000,222
1521676800000,220
1521763200000,213
1522022400000,209
1522108800000,204
1522195200000,201.5
1522281600000,201
