1/3/18,5.95
1/4/18,6.07
1/5/18,6.02
1/8/18,6.12
1/9/18,6.05
1/10/18,6.02
1/11/18,6.05
1/12/18,6.02
1/15/18,6.11
1/16/18,6.22
1/17/18,6.24
1/18/18,6.31
1/19/18,6.35
1/22/18,6.36
1/23/18,6.34
1/24/18,6.26
1/25/18,6.12
1/26/18,6.1
1/29/18,6.2
1/30/18,6.12
1/31/18,6.13
2/1/18,5.92
2/2/18,5.84
2/5/18,5.9
2/6/18,5.88
2/7/18,5.79
2/8/18,5.77
2/9/18,5.78
2/12/18,5.72
2/13/18,5.75
2/14/18,5.87
2/15/18,5.79
2/16/18,5.89
2/19/18,5.87
2/20/18,5.82
2/21/18,5.45
2/22/18,5.66
2/23/18,5.74
2/26/18,5.76
2/27/18,5.75
2/28/18,5.7
3/1/18,5.55
3/2/18,5.67
3/5/18,5.7
3/6/18,5.73
3/7/18,5.85
3/8/18,5.9
3/9/18,5.9
3/12/18,6
3/13/18,5.98
3/14/18,5.95
3/15/18,5.97
3/16/18,6
3/19/18,5.88
3/20/18,5.91
3/21/18,5.96
3/22/18,5.94
3/23/18,5.8
3/26/18,5.72
3/27/18,5.76
3/28/18,5.75
3/29/18,5.8
